dateFor,AB,AR,AG,BC,BH,BN,BT,BV,BR,BZ,CS,CL,CJ,CT,CV,DB,DJ,GL,GR,GJ,HR,HD,IL,IS,IF,MM,MH,MS,NT,OT,PH,SM,SJ,SB,SV,TR,TM,TL,VS,VL,VN,B,-
2022-04-10,18,11,19,25,13,7,6,11,11,10,8,1,52,22,2,13,5,29,12,3,2,53,1,33,58,0,9,11,6,9,39,20,11,20,19,24,74,1,12,9,5,333,0.0
2022-04-09,11,33,13,21,22,17,2,56,18,23,11,9,118,31,9,20,47,51,9,10,5,0,2,47,36,2,6,31,14,13,37,8,9,55,9,1,118,1,21,14,20,469,0.0
2022-04-08,16,41,20,14,43,12,4,67,20,11,12,19,180,38,7,16,45,44,13,8,6,100,3,54,77,26,16,38,11,14,38,23,19,16,15,19,140,3,28,18,18,534,0.0
2022-04-07,8,43,22,12,36,14,8,62,8,4,24,14,179,53,18,20,80,32,16,6,3,11,8,105,115,21,11,38,7,7,63,17,13,37,13,52,139,0,15,21,24,595,9.0
2022-04-06,29,29,26,46,41,15,6,112,25,48,19,9,310,106,23,31,90,96,15,8,3,140,12,128,113,37,21,47,9,12,58,28,26,151,17,34,245,4,41,24,34,796,0.0
2022-04-05,22,52,21,30,48,31,16,111,3,20,39,12,214,49,10,24,94,32,24,9,5,23,10,93,74,16,19,75,13,35,58,5,12,2,27,16,211,6,27,29,16,576,835.0
2022-04-04,21,26,18,16,34,10,8,39,17,15,17,25,79,53,6,16,13,27,8,2,3,105,8,37,81,61,8,12,8,9,18,4,5,22,11,12,68,6,35,27,0,532,0.0
2022-04-03,30,26,18,12,17,5,4,30,7,10,9,12,87,24,0,25,30,26,13,3,2,1,14,54,94,0,7,28,10,13,46,16,7,26,17,24,132,2,18,16,16,417,80.0
2022-04-02,30,54,12,37,38,33,9,83,47,25,34,7,210,60,3,31,92,75,7,11,12,29,4,94,36,3,12,57,17,23,91,18,8,50,13,19,211,1,35,22,18,468,32.0
2022-04-01,26,56,39,33,63,10,13,95,1,22,25,10,267,91,10,34,71,81,21,10,6,104,11,102,97,36,12,61,25,36,82,24,27,61,20,20,230,5,37,24,20,827,68.0
2022-03-31,38,69,20,32,65,24,19,136,41,29,44,26,318,111,7,25,108,63,29,11,11,26,14,121,120,28,16,71,23,30,61,29,18,72,23,33,246,5,41,30,26,1004,0.0
2022-03-30,62,218,63,68,120,66,44,295,51,53,78,38,812,175,57,73,205,131,30,25,19,274,31,264,319,71,35,198,39,84,184,51,43,187,52,96,611,20,82,68,44,2354,52.0
2022-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-03-28,30,35,15,23,46,6,11,58,8,7,15,10,106,83,15,26,22,43,11,4,1,122,7,34,113,55,7,45,9,13,25,5,10,43,11,38,112,9,26,23,1,659,7.0
2022-03-27,54,28,14,21,16,16,16,48,3,13,19,10,166,51,0,24,104,42,17,9,1,17,1,71,103,1,16,24,13,14,67,21,4,36,9,20,147,7,28,15,26,923,0.0
2022-03-26,52,49,37,15,55,37,11,85,34,28,40,13,286,72,5,35,81,61,24,19,9,10,13,108,80,5,10,58,13,38,77,15,15,81,19,41,243,9,28,21,31,888,244.0
2022-03-25,46,77,42,36,55,21,20,125,5,27,39,8,416,142,10,49,106,102,17,20,4,147,12,166,161,39,16,86,16,25,112,20,20,76,22,56,301,10,42,61,15,1294,0.0
2022-03-24,67,85,35,45,63,29,26,179,47,47,36,26,351,160,9,40,116,63,27,21,6,27,16,153,241,52,26,115,15,36,130,33,27,99,26,57,297,4,55,40,15,1282,0.0
